Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month
1894,1215200268,4,3,0.144,4750,685.387,0.131,0.018,0.26,23-1
1894,1188183233,4,3,0.098,8442,826.774,0.114,0.019,0.325,23-1
1894,-1215073450,4,3,0.144,6322,913,0.141,0.025,0.345,23-1
1894,-1215072450,4,3,0.132,5167,680.129,0.115,0.017,0.291,23-1
1894,1215074655,4,6,0.101,3083,310,0.109,0.016,0.347,23-1
1894,-1145730055,4,6,0.172,3802,653.839,0.138,0.027,0.433,23-1
1895,-1215072640,4,4,0.137,4867,667.387,0.099,0.029,0.615,23-1
1895,1215072509,4,4,0.075,4662,350.548,0.086,0.016,0.368,23-1
1895,1215085621,4,4,0.114,6668,760.677,0.111,0.026,0.554,23-1
1895,1188260832,4,6,0.143,4174,596.871,0.085,0.029,0.968,23-1
1895,-43014559,4,9,0.167,3945,658.613,0.101,0.025,0.819,23-1
1895,-1215073030,4,6,0.114,4120,470.387,0.099,0.022,0.629,23-1
1895,-1215086539,4,4,0.145,6303,911.323,0.121,0.023,0.433,23-1
1060,-1206932736,4,2,0.229,1877,430.645,0.234,0.006,0.038,23-1
1898,-18874721,4,1,0.111,3597,400.097,0.111,0,0,23-1
1060,1206932737,4,2,0.136,2908,396.258,0.204,0.096,0.666,23-1
1898,18874727,4,1,0.106,1418,150.742,0.106,0,0,23-1
1898,18874721,4,1,0.161,5641,907.194,0.161,0,0,23-1
1898,123353961,4,1,0.155,3897,603.935,0.155,0,0,23-1
1895,1215073562,4,9,0.097,5037,490.419,0.091,0.019,0.682,23-1
1902,1219813797,4,3,0.108,8768,950.194,0.116,0.02,0.326,23-1
1902,-1185800134,4,3,0.101,8595,869.129,0.108,0.014,0.232,23-1
1902,-1219815159,4,8,0.107,7628,812.968,0.112,0.017,0.391,23-1
1307,1215070315,4,7,0.126,3495,440.129,0.08,0.034,1.076,23-1
1307,-43014939,4,7,0.137,2896,397.452,0.088,0.035,1.01,23-1
1307,1215069871,4,6,0.074,6586,484.774,0.051,0.012,0.64,23-1
1307,1215071271,4,4,0.114,9613,1095.677,0.088,0.019,0.533,23-1
1307,-1145741273,4,6,0.105,4893,515.226,0.075,0.02,0.653,23-1
1902,-1219817443,4,8,0.126,7196,908.677,0.113,0.022,0.525,23-1
1307,-913422249,4,4,0.103,8060,829.677,0.092,0.013,0.316,23-1
1307,-1215071006,4,7,0.09,5823,522.71,0.072,0.013,0.479,23-1
1307,913422247,4,7,0.097,5540,535.258,0.072,0.013,0.549,23-1
1905,1314011652,4,4,0.121,4099,497.71,0.082,0.03,0.803,23-1
1905,-1243437316,4,4,0.14,3994,559.935,0.102,0.041,0.752,23-1
1905,1243607192,4,5,0.15,7451,1117.613,0.126,0.027,0.494,23-1
1905,-1243438979,4,5,0.182,6803,1241.387,0.136,0.03,0.57,23-1
1905,1243437319,4,5,0.168,6168,1038.806,0.151,0.031,0.504,23-1
1905,1210742872,4,7,0.145,5053,733.226,0.109,0.025,0.617,23-1
1905,-1034088061,4,5,0.167,6035,1010.323,0.115,0.031,0.704,23-1
1905,-110459496,4,7,0.113,5328,603.903,0.088,0.016,0.557,23-1
1906,-1033293370,4,4,0.096,6818,657.194,0.115,0.03,0.59,23-1
1907,-1314007226,4,3,0.06,7797,466.935,0.079,0.025,0.603,23-1
1906,1243869995,4,8,0.111,6398,707.258,0.072,0.017,0.732,23-1
1906,97981239,4,4,0.097,6392,618.258,0.109,0.025,0.473,23-1
1907,1313997125,4,3,0.123,7528,929.516,0.087,0.032,0.684,23-1
1907,1033243943,4,7,0.077,6096,468.806,0.08,0.018,0.635,23-1
1906,-1134382206,4,8,0.058,6192,356.258,0.067,0.013,0.532,23-1
1907,-1209997170,4,7,0.069,6870,474.194,0.08,0.02,0.73,23-1
1908,-1244077913,4,6,0.109,4815,523.903,0.092,0.014,0.364,23-1
1908,1314246922,4,6,0.095,5209,493.71,0.083,0.013,0.34,23-1
1911,-1298282787,4,5,0.148,5096,753.484,0.13,0.025,0.459,23-1
1911,-1197046102,4,7,0.18,7293,1313.742,0.159,0.012,0.2,23-1
1911,747120368,4,8,0.228,8340,1904.613,0.163,0.031,0.56,23-1
1911,-1197050075,4,6,0.164,5452,893.226,0.111,0.027,0.677,23-1
1911,1197049800,4,7,0.125,5019,627.258,0.13,0.019,0.435,23-1
1908,-1210131206,4,13,0.079,4975,392.903,0.08,0.006,0.243,23-1
1911,102931419,4,5,0.132,4729,624.613,0.125,0.039,0.76,23-1
1908,1314247010,4,13,0.072,5885,425,0.062,0.005,0.272,23-1
1911,1298283253,4,8,0.203,4749,965.032,0.178,0.023,0.334,23-1
1893,976635077,4,1,0.11,12086,1331.774,0.11,0,0,23-1
1911,-102931385,4,9,0.141,6411,906.613,0.132,0.02,0.479,23-1
1912,833537503,4,8,0.202,5447,1100.323,0.154,0.052,0.93,23-1
1912,-1293216947,4,8,0.291,4260,1241.645,0.169,0.059,1.009,23-1
1909,1255424054,4,3,0.203,2822,573.323,0.139,0.057,0.78,23-1
1909,-1246799034,4,3,0.205,2678,548,0.224,0.075,0.647,23-1
1912,-1281565214,4,11,0.149,6569,975.645,0.136,0.025,0.649,23-1
1912,832672730,4,11,0.197,5440,1071.516,0.165,0.03,0.621,23-1
1912,-23048743,4,12,0.188,4433,832.065,0.175,0.02,0.365,23-1
585,-1204486495,4,3,0.235,3510,823.871,0.167,0.059,0.659,23-1
1912,-1202705440,4,16,0.181,4275,771.871,0.115,0.045,1.376,23-1
1912,801464388,4,18,0.228,4127,940.323,0.159,0.023,0.621,23-1
1912,-1202715852,4,18,0.165,4828,795.677,0.14,0.017,0.366,23-1
585,-23038665,4,5,0.148,5244,774.903,0.134,0.024,0.42,23-1
585,23038716,4,4,0.165,3014,498.29,0.181,0.065,0.757,23-1
585,835909182,4,4,0.196,4445,870.839,0.146,0.035,0.554,23-1
1914,1307355311,4,9,0.08,8167,657,0.111,0.034,0.775,23-1
1914,-715157499,4,9,0.136,9755,1325.161,0.09,0.028,0.758,23-1
1917,-1212782191,4,3,0.045,14150,636,0.048,0.003,0.132,23-1
1917,1212784143,4,3,0.059,5689,337.226,0.065,0.006,0.174,23-1
1917,820280196,4,1,0.059,15110,893.968,0.059,0,0,23-1
1917,-820302360,4,3,0.129,6608,854.774,0.106,0.021,0.385,23-1
1914,1216482349,4,13,0.089,9554,854.032,0.088,0.01,0.387,23-1
1917,-1212568981,4,3,0.102,4069,416.742,0.094,0.007,0.14,23-1
1917,1191238382,4,3,0.082,8189,668.548,0.083,0.01,0.243,23-1
1917,-1212851123,4,2,0.085,6039,512.258,0.063,0.032,0.714,23-1
1917,-1212783519,4,5,0.067,8427,563.581,0.073,0.006,0.212,23-1
1915,1131847077,4,3,0.245,2638,645.194,0.195,0.043,0.39,23-1
1914,-722321567,4,13,0.09,11441,1024.194,0.091,0.016,0.663,23-1
1915,1035262962,4,6,0.246,1008,248.226,0.213,0.057,0.576,23-1
1915,-1035262959,4,3,0.192,3201,613.839,0.185,0.025,0.263,23-1
1915,-1131847260,4,6,0.334,847,283.097,0.235,0.072,0.678,23-1
